incident_type,city,state,date_time,year,data type,subject_race,gender,subject_ethnicity,block_address,district,psa,age
Stop & Frisk,"Washington, D.C.",DC,1/1/10 4:56,2010,Person,Unknown,Male,Not Hispanic Or Latino,U ST NW,3D,305.0,28
Stop & Frisk,"Washington, D.C.",DC,1/1/10 8:44,2010,Person,White,Female,Not Hispanic Or Latino,3000 B/O CLEVELAND AVE NW,2D,204.0,62
Stop & Frisk,"Washington, D.C.",DC,1/1/10 17:30,2010,Person,Black,Male,Not Hispanic Or Latino,4200 B/O 7TH ST SE,7D,706.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/1/10 18:45,2010,Person,Black,Male,Not Hispanic Or Latino,0 B/O ST NW,1D,101.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/2/10 1:59,2010,Person,Black,Male,Not Hispanic Or Latino,1400 B/O RHODE ISLAND AVE NW,2D,208.0,42
Stop & Frisk,"Washington, D.C.",DC,1/2/10 2:30,2010,Person,Black,Male,Not Hispanic Or Latino,PENNSYLVANIA AVE SE,1D,107.0,26
Stop & Frisk,"Washington, D.C.",DC,1/2/10 3:29,2010,Person,Black,Male,Not Hispanic Or Latino,PATTERSON ST NE,1D,101.0,26
Stop & Frisk,"Washington, D.C.",DC,1/2/10 16:41,2010,Person,Black,Male,Not Hispanic Or Latino,3800 B/O MINNESOTA AVE NE,6D,603.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/2/10 18:20,2010,Person,Black,Male,Not Hispanic Or Latino,4000 B/O SOUTH CAPITOL TER SW,7D,706.0,25
Stop & Frisk,"Washington, D.C.",DC,1/2/10 18:40,2010,Person,Black,Male,Not Hispanic Or Latino,1100 B/O SHERIFF RD NE,6D,602.0,19
Stop & Frisk,"Washington, D.C.",DC,1/2/10 20:30,2010,Person,Black,Male,Not Hispanic Or Latino,2500 B/O 18TH ST NW,3D,303.0,19
Stop & Frisk,"Washington, D.C.",DC,1/2/10 20:30,2010,Person,Black,Male,Not Hispanic Or Latino,2500 B/O 18TH ST NW,3D,303.0,Juvenile
Stop & Frisk,"Washington, D.C.",DC,1/3/10 3:24,2010,Person,Black,Male,Not Hispanic Or Latino,COLUMBIA RD,4D,303.0,
